n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
55,CDRIVER-2545,https://jira.mongodb.org/browse/CDRIVER-2545,human,not_relevant,,high,"Contains ""build"" keyword; build/doc/packaging related.",Make Secure Transport the default on macOS and SChannel the default on Windows,"Before, I was afraid to break compatibility for people accustomed to our build systems' default behavior: build with OpenSSL if possible, even on macOS where a better alternative is always available. There's growing pressure to require TLS 1.1, however, which isn't supported by the OpenSSLs that old macOS shipped. Let's switch the default in the CMake build system and make Secure Transport the default on macOS.",CDRIVER,Improvement,Build|tls,,Duplicate:CDRIVER-1121|Related:PHPC-1156,not_relevant,high
56,RUBY-2783,https://jira.mongodb.org/browse/RUBY-2783,human,not_relevant,bson,medium,references another driver,"Return a String without ""$oid"" from BSON::ObjectId#as_json and #to_json ","### The Change

Currently, `BSON::ObjectId#as_json` will return `\{ ""$oid"" => ""03d623ca58edf9046e207565"" }`

This PR does what 99% of users prefer: return a plain String `""03d623ca58edf9046e207565""`

I've included a ""Breaking change"" notice in the docs for this.

### Why

While `$oid` may be the correct way to represent an ObjectID in strict ""BSON"", it is not a practical way to represent an ObjectID in ""JSON"" as used in real world apps. The standard use case for JSON (`.as_json` method) is **to serialize objects for HTTP APIs**. The primary goal of Mongoid is for us as developers not to have to worry about BSON internal representations; instead we think in terms of the Ruby app domain. (Mongoid / Mongo Ruby Driver handles the BSON nuts-and-bolts for us.)

### Other Ideas

We could also add `BSON::ObjectId#as_bson` and `Object#as_bson` (which delegates to `.as_json` in all cases except `ObjectId`.) I don't think it's particularly useful, but I'd be happy to implement it if the Mongo team would like. (We'd probably want to call `mongoize` or `evolve` as well...)

### More Background

The current behavior drives Rails users absolutely crazy as you can see in the following issues, and **nearly everyone ends up monkey-patching this method** after hours of debugging frustration. Here are some a few examples out of hundreds:
- https://medium.com/aviabird/mongoid-how-to-serialize-to-json-with-a-string-id-attribute-2d5c1bc284a7
- https://stackoverflow.com/questions/23505247/have-to-json-return-a-mongoid-as-a-string
- https://stackoverflow.com/questions/18646223/ruby-model-output-id-as-object-oid
- https://github.com/nesquena/rabl/issues/337

Incidentally, Mongoid 3.1 and earlier used to serialize this as a String; when it changed to `$oid` it broke my and many other users apps--this unexpected behavior causes lots of bugs.",RUBY,Improvement,BSON,,Related:MONGOID-5162|Related:MONGOID-5234|Related:RUBY-2810,cross_driver_inconsistency,medium
57,NODE-2977,https://jira.mongodb.org/browse/NODE-2977,human,driver_spec_nonconformance,connection-string,high,Windows path parsing bug in connection string tlsCAFile option.,Query parameters with path in connection string not working on windows,"h3. Problem Description

Some of the query parameters in a connection string allow a file path to be specified, e.g. the {{tlsCAFile}} option, that will be resolved to the file contents before connecting. However, using an absolute path on Windows will result in an error:

{{TypeError [ERR_INVALID_ARG_TYPE]: The ""path"" argument must be of type string or an instance of Buffer or URL. Received an instance of Object}}

It seems that the error is caused by the {{parseQueryStringItemValue}} method ([https://github.com/mongodb/node-mongodb-native/blob/master/src/connection_string.ts#L154)|https://github.com/mongodb/node-mongodb-native/blob/master/src/connection_string.ts#L154).]. It checks for the presence of a {{:}} in the parameter value and if so converts it into an object with key-values by splitting. However, an absolute path on windows will always start with {{<drive letter>:\...}} so the {{:}} will always be present.

This at least affects v4 - not tested for 3.x.
h3. Steps to Reproduce

Try connecting to a MongoDB node passing the {{tlsCAFile}} query parameter in the connection string on Windows with a valid absolute path.
h3. Expected Results

The connection is created and works/fails according to the CA provided.
h3. Actual Results

No connection is created but an error is thrown while trying to execute {{fs.readFileSync}} when resolving the {{tlsCAFile}}.",NODE,Bug,Shell,,Depends:MONGOSH-418|Depends:MONGOSH-193,driver_spec_nonconformance,high
58,CDRIVER-4598,https://jira.mongodb.org/browse/CDRIVER-4598,human,driver_spec_nonconformance,wire-protocol,medium,Ticket involves BSON serialization,_mongoc_rpc_scatter segfaults when parsing an OP_MSG with the optional CRC checksum present,"h4. Summary

As part of the development of the [serverless proxy|https://github.com/10gen/serverless-proxy], which is an Envoy process with custom filters to transcode the wire protocol into gRPC that will be used in Atlas Serverless, we are using some internal functionality of the C driver to perform wire protocol parsing (basically using {{_mongoc_rpc_scatter}} and various other functions).

We noticed that the serverless proxy segfaults when parsing an {{OP_MSG}} with the optional CRC checksum present. This occurs during the initial SASL handshake when connecting to Envoy using the legacy shell. The segfault occurs in {{{}_mongoc_rpc_scatter_msg{}}}, which is invoked by {{{}_mongoc_rpc_scatter{}}}.

After some initial digging, I think the use of {{strlen}} [here|https://github.com/mongodb/mongo-c-driver/blob/e24a7a2eb6486d142dd13a0472d76ff25188ed12/src/libmongoc/src/mongoc/mongoc-rpc.c#L519-L523] is unsafe. In fact, I think we should be using {{strnlen}} everywhere in {{mongoc-rpc.c}} as a precaution.

Below is an example of a buffer that causes {{_mongoc_rpc_scatter}} to segfault:
{code}  // The buffer contains 179 bytes in little-endian order that correspond to the valid wire protocol
  // message:
  // {
  //   ""saslStart"": 1,
  //   ""mechanism"": ""SCRAM-SHA-1"",
  //   ""options"":
  //   {
  //     ""skipEmptyExchange"": true
  //   },
  //   ""payload"":
  //   {
  //     ""$binary"":
  //     {
  //       ""base64"": ""biwsbj11c2VyLHI9Wmo5dkFXYUFmZUNWRkJHRU5TMkd0YnZXZEE2czIraG8="",
  //       ""subType"": ""00""
  //     }
  //   },
  //   ""$db"": ""admin""
  // }
  //
  // In this case, the optional CRC checksum is appended to the end of the OP_MSG. Refer to
  // https://www.mongodb.com/docs/manual/reference/mongodb-wire-protocol and https://bsonspec.org
  // for more information about the MongoDB wire protocol and the BSON specification, respectively.
  // clang-format off
  unsigned char buf[] = {
      // -----------------------
      // STANDARD MESSAGE HEADER
      // -----------------------
      0xb3, 0x00, 0x00, 0x00, // messageLength (0x000000b3 = 179)
      0x01, 0x00, 0x00, 0x00, // requestID (0x00000001 = 1)
      0x00, 0x00, 0x00, 0x00, // responseTo (0x00000000 = 0)
      0xdd, 0x07, 0x00, 0x00, // opCode (0x000007dd = 2013), indicating OP_MSG
      // ----------------
      // OP_MSG FLAG BITS
      // ----------------
      0x01, 0x00, 0x00, 0x00, // OP_MSG flagBits (0x00000001 = checksumPresent bit set)
      // ---------------------
      // OP_MSG SECTIONS ARRAY
      // ---------------------
      0x00, // OP_MSG sections kind byte (0x00), indicating body is single BSON object
      // ------------------
      // SINGLE BSON OBJECT
      // ------------------
      0x9a, 0x00, 0x00, 0x00,                                                                                     // BSON object size (0x0000009a = 154)
      0x10,                                                                                                       // BSON element type (0x10 = int32)
      0x73, 0x61, 0x73, 0x6c, 0x53, 0x74, 0x61, 0x72, 0x74, 0x00,                                                 // BSON element cstring field name (""saslStart"")
      0x01, 0x00, 0x00, 0x00,                                                                                     // BSON element value (0x00000001 = 1)
      0x02,                                                                                                       // BSON element type (0x02 = UTF-8 string)
      0x6d, 0x65, 0x63, 0x68, 0x61, 0x6e, 0x69, 0x73, 0x6d, 0x00,                                                 // BSON element cstring field name (""mechanism"")
      0x0c, 0x00, 0x00, 0x00, 0x53, 0x43, 0x52, 0x41, 0x4d, 0x2d, 0x53, 0x48, 0x41, 0x2d, 0x31, 0x00,             // BSON element value (""SCRAM-SHA-1"")
      0x03,                                                                                                       // BSON element type (0x03 = embedded document)
      0x6f, 0x70, 0x74, 0x69, 0x6f, 0x6e, 0x73, 0x00,                                                             // BSON element cstring field name (""options"")
      0x19, 0x00, 0x00, 0x00,                                                                                     // Embedded BSON object size (0x00000019 = 25)
      0x08,                                                                                                       // BSON element type (0x08 = boolean)
      0x73, 0x6b, 0x69, 0x70, 0x45, 0x6d, 0x70, 0x74, 0x79, 0x45, 0x78, 0x63, 0x68, 0x61, 0x6e, 0x67, 0x65, 0x00, // BSON element cstring field name (""skipEmptyExchange"")
      0x01,                                                                                                       // BSON element value (""true"") 
      0x00,                                                                                                       // Embedded BSON object end byte (0x00)
      0x05,                                                                                                       // BSON element type (0x05 = binary data)
      0x70, 0x61, 0x79, 0x6c, 0x6f, 0x61, 0x64, 0x00,                                                             // BSON element cstring field name (""payload"")
      0x2c, 0x00, 0x00, 0x00,                                                                                     // Binary data size (0x0000002c = 44)
      0x00,                                                                                                       // Binary data subtype (0x00 = 0)
      0x6e, 0x2c, 0x2c, 0x6e, 0x3d, 0x75, 0x73, 0x65, 0x72, 0x2c, 0x72, 0x3d, 0x5a, 0x6a, 0x39, 0x76, 0x41, 0x57, // BSON element value (binary data)
      0x61, 0x41, 0x66, 0x65, 0x43, 0x56, 0x46, 0x42, 0x47, 0x45, 0x4e, 0x53, 0x32, 0x47, 0x74, 0x62, 0x76, 0x57, // ...
      0x64, 0x41, 0x36, 0x73, 0x32, 0x2b, 0x68, 0x6f,                                                             // ...
      0x02,                                                                                                       // BSON element type (0x02 = UTF-8 string)
      0x24, 0x64, 0x62, 0x00,                                                                                     // BSON element cstring field name (""$db"")
      0x06, 0x00, 0x00, 0x00, 0x61, 0x64, 0x6d, 0x69, 0x6e, 0x00,                                                 // BSON element value (""admin"")
      0x00,                                                                                                       // BSON object end byte (0x00)
      0x20, 0x3c, 0x28, 0xb5                                                                                      // CRC-32C checksum
  };
  // clang-format on
{code}
h4. Environment

We are using version {{1.23.1}} of the C driver.

Host OS is Linux ip-10-122-15-28 5.4.0-1093-aws #102~18.04.2-Ubuntu SMP Wed Dec 7 00:31:59 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux.
h4. How to Reproduce

See buffer attached above.",CDRIVER,Bug,Serverless Proxy,,Related:CDRIVER-4617|Related:CDRIVER-4630,driver_spec_nonconformance,medium
59,NODE-6126,https://jira.mongodb.org/browse/NODE-6126,human,not_relevant,,high,"Performance, build, packaging, or doc-related.",Improve performance of Long.fromBigInt,"h3. Use Case

As a BSON user
I want Long.fromBigInt to be performant
So that I can efficiently translate to the Long type
h3. User Impact
 * Any user using Long.fromBigInt

h3. Dependencies
 * None

h3. Unknowns
 * Is there a performance difference between bigint literals and {{BigInt(number)}}

h3. Acceptance Criteria
h4. Implementation Requirements
 * Remove stringifying to translate BigInt to Long
 * Replace with bitwise operations that separate the high and low 32 bits and call the Long constructor.

h4. Testing Requirements
 * Existing tests
 * Manually check performance improvements

h4. Documentation Requirements
 * None

h4. Follow Up Requirements
 * None",NODE,Improvement,BSON|Performance,node-internal,,not_relevant,high
60,JAVA-489,https://jira.mongodb.org/browse/JAVA-489,human,driver_spec_nonconformance,cursors,medium,,Add DBCursor.count(boolean foundOnly),"At this moment it's impossible to get the number of results with skip and limit applied:
http://api.mongodb.org/java/2.7.0/com/mongodb/DBCursor.html#count()

At the same time [PHP|http://www.php.net/manual/en/mongocursor.count.php] and [Python|http://api.mongodb.org/python/2.0.1/api/pymongo/cursor.html#pymongo.cursor.Cursor.count] have this ability.",JAVA,Improvement,,,,not_relevant,medium
61,CDRIVER-3575,https://jira.mongodb.org/browse/CDRIVER-3575,human,not_relevant,write-concern,high,Cross-driver inconsistency in write-concern.,"Ensure that the WriteConcernError ""errInfo"" object is propagated",See DRIVERS-967 for details.,CDRIVER,Improvement,,,Depends:DRIVERS-967,cross_driver_inconsistency,high
62,RUBY-2976,https://jira.mongodb.org/browse/RUBY-2976,human,driver_spec_nonconformance,crud,high,CRUD spec requires error for empty bulk write operation list,Raise an error on empty list of operations to BulkWrite,"Currently, the Ruby Driver allows applications to send the empty list to the Bulk Write operation. The spec states that drivers should raise an error in this case. 
https://github.com/mongodb/specifications/blob/master/source/crud/crud.rst#insert-update-replace-delete-and-bulk-writes",RUBY,Improvement,Spec Comp,,Related:RUBY-3087,driver_spec_nonconformance,high
63,NODE-3881,https://jira.mongodb.org/browse/NODE-3881,human,not_relevant,none,medium,References another driver behavior or linked ticket,Require hello command + OP_MSG when 'loadBalanced=True',"This ticket was split from {{{}DRIVERS-2033{}}}, please see that ticket for a detailed description.
h3. *Acceptance Criteria*

**

*Implementation Requirements*
When performing an initial handshake send the hello command instead of the legacy hello command if loadBalanced option is specified. Also send command OP_MSG instead of OP_QUERY.

*Testing Requirements*
 - prepareHandshakeDocument sets the hello parameter to 1 when loadBalanced is true
 - prepareHandshakeDocument sets the legacy hello parameter to 1 when serverApi and loadBalanced are not present
 - add a unit test for a load-balanced to verify that the first command is sent as OP_MSG 
 - add a unit test for a not load-balanced to verify that the first command is sent as OP_QUERY 

*Documentation Requirements*
None

*Follow Up Requirements*
None",NODE,Improvement,,prioritized|spec-compliance,Issue split:DRIVERS-2033|Related:CLOUDP-194714,cross_driver_inconsistency,medium
64,CSHARP-1589,https://jira.mongodb.org/browse/CSHARP-1589,human,not_relevant,crud,low,"spec area bug, prevention unclear",OfType doesn't work for an embedded array.,"please find method which calls to get people entries with casting to derived class object



var people = database.GetDatabase(""Test"") .GetCollection<Person>(""People"").AsQueryable();
            var x = people.Where(z => z.Addresses.OfType<Email>().Any(e => e.MailTo == ""not@home.com""));
 throws an exception:
""The method OfType is not supported in the expression tree: {document}{Addresses}.OfType().""

class Person
        {
            public List<Address> Addresses { get; set; }
        }
        class Address
        {
        }
        class Phone : Address
        {
            public string Number { get; set; }
        }
        class Email : Address
        {
            public string MailTo { get; set; }
        }
            ",CSHARP,Bug,API,driver,,avoidable_by_spec_conformance,low
65,CDRIVER-927,https://jira.mongodb.org/browse/CDRIVER-927,human,not_relevant,bson,low,Touches spec area but lacks clear nonconformance.,"libbson streaming writer docs are unclear, perhaps misleading","I'm trying to use libbson's streaming interface to write a sequence of records as described in [this StackOverflow question|http://stackoverflow.com/questions/33025818/how-to-use-libbson-streaming-writer-t-interface-to-write-bson-with-list-of-recor].  The streaming docs say the following:

{quote}
Libbson provides mechanisms to stream BSON documents to and from file-descriptors. This can be convenient if you want to do stream oriented processing.
{quote}

I do see that the reader interface, via {{bson_reader_new_from_file}}, does allow for reading from a file, but I see no similar interface for writing to a file as the docs suggest.

My code sample in the SO question shows some working code for writing from the {{bson_writer_t}}'s buffer, but when dealing with an arbitrary number of sub-documents, this would mean I'd have to use one writer for the entire parent document, meaning the buffer can grow arbitrarily large and undermine the whole point of streaming.

Are there plans to add file writing support directly to the {{bson_writer}} interface as the docs seem to indicate, and if so, would this kind of incremental writing of documents be supported?  This seems like a basic requirement for anyone who wants to emit larger documents with nested sub-documents.",CDRIVER,Bug,Docs|libbson,,,avoidable_by_spec_conformance,low
66,RUBY-1987,https://jira.mongodb.org/browse/RUBY-1987,human,driver_spec_nonconformance,command-monitoring|cursors,medium,Bug in command-monitoring,No command monitoring events for getMore on 2.6 server,"It appears that when running against a 2.6 server, using OP_GET_MORE op codes, the driver does not surface any command monitoring events for the getMore operations that are being sent.

https://github.com/mongodb/specifications/blob/master/source/find_getmore_killcursors_commands.rst says getMore command was added in 3.2, therefore I expect this issue to affect 2.6 and 3.0 servers.",RUBY,Bug,,,Related:RUBY-1980,avoidable_by_spec_conformance,medium
67,CSHARP-3428,https://jira.mongodb.org/browse/CSHARP-3428,human,not_relevant,,low,Default rationale,Week start parameter for $dateDiff aggregation expression,,CSHARP,Improvement,LINQ,,Depends:DRIVERS-1559|Related:CSHARP-3343,cross_driver_inconsistency,low
68,RUBY-3062,https://jira.mongodb.org/browse/RUBY-3062,human,not_relevant,csfle,high,Links to DRIVERS-2377; GCP KMS feature alignment.,Add support for GCP attached service accounts when using GCP KMS,"This ticket was split from {{DRIVERS-2377}}, please see that ticket for a detailed description. ",RUBY,Improvement,Client Side Encryption,,Issue split:DRIVERS-2377,cross_driver_inconsistency,high
69,CDRIVER-2134,https://jira.mongodb.org/browse/CDRIVER-2134,human,not_relevant,,medium,references behavior in another driver,Coverity analysis defect 49582: Operands don't affect result,"An operation with non-constant operands that computes a result with constant value

Defect 49582 (STATIC_C)
  Checker CONSTANT_EXPRESSION_RESULT (subcategory result_independent_of_operands)
  File:  {{/src/mongoc/mongoc-stream-gridfs.c}}
  Function {{_mongoc_stream_gridfs_readv}}
    /src/mongoc/mongoc-stream-gridfs.c, line: 114
    {color:red}""timeout_msec <= 2147483647"" is always true regardless of the values of its operands. This occurs as the logical operand of ""!"".{color} 
{code:first-line=114}
       BSON_ASSERT (timeout_msec <= INT_MAX);
{code}

",CDRIVER,Bug,,,Related:CDRIVER-852,cross_driver_inconsistency,medium
70,JAVA-1888,https://jira.mongodb.org/browse/JAVA-1888,human,test_infrastructure,sdam|crud,medium,Touches sdam.,Update SDAM tests to latest,Update to the latest tests.,JAVA,Improvement,,,,avoidable_by_spec_conformance,medium
71,PHPC-895,https://jira.mongodb.org/browse/PHPC-895,human,driver_spec_nonconformance,bson,low,Touches spec area but signal unclear.,Require 16-byte data length for Binary UUID subtypes 0x03 and 0x04,The legacy driver [throws an exception|https://github.com/mongodb/mongo-php-driver-legacy/blob/1.6.14/types/bin_data.c#L37] from the constructor if the subtype is 0x04 and the data payload is not exactly 16 bytes.,PHPC,Bug,,,Related:SWIFT-140|Related:DOCS-1543,avoidable_by_spec_conformance,low
72,CDRIVER-1533,https://jira.mongodb.org/browse/CDRIVER-1533,human,not_relevant,,medium,References other driver behavior.,mongoc_client_get_server_descriptions can return NULLs,"The 1.4.0 function mongoc_client_get_server_descriptions is supposed to return an array of server description pointers and the number of pointers, ""n"". It omits server descriptions of ""unknown"" type.

But, instead of tightly packing pointers to known-type server descriptions, it instead leaves NULL pointers in the returned array. For example, if there are 2 known servers and 1 unknown server, mongoc_client_get_server_descriptions is supposed to return:
{code}
[known server, known server, NULL]
n=2
{code}
... instead, it returns:
{code}
[known server, NULL, known server]
n=2
{code}
This could crash the caller, which doesn't expect any NULLs. If the caller doesn't crash, it still gets incorrect results, because n=2 is supposed to mean that the first two array elements are server description pointers. If the caller gets far enough to call mongoc_server_descriptions_destroy_all, it will crash there.

The unreleased new 1.5.0 function mongoc_topology_description_get_servers has the same bug.",CDRIVER,Bug,libmongoc,,Related:CDRIVER-1091,cross_driver_inconsistency,medium
73,CDRIVER-6019,https://jira.mongodb.org/browse/CDRIVER-6019,human,not_relevant,,medium,No spec-related content identified.,Improve error messages from Windows APIs,Tracks: https://github.com/mongodb/mongo-c-driver/pull/2020,CDRIVER,Improvement,,,,not_relevant,medium
74,CSHARP-2995,https://jira.mongodb.org/browse/CSHARP-2995,human,not_relevant,,low,References another driver; insufficient detail to classify further.,BsonClassMap.LookupClassMap supports private constructors inconsistently (regression),"The user's email:
{noformat}Ello 
After upgrading the c# mongo driver from 2.10.1 to 2.10.2, I noticed that classes that deserialised without issues suddenly stopped working, resulting in exceptions about incorrect creator maps. Has something changed with this patch?
The class I'm deserialising has a private, parameterless constructor, and a public constructor with 4 arguments. I get the following exception since the patch:
Creator map for class Nallian.CargoFlow.UseCase.Models.Mawb.PiecesDetail has 4 arguments, but none are configured.
Any ideas what has gone wrong? I don't see documented changes regarding the mapping, might the change be unintended? Moving back to 2.10.1 has resolved the issue again, leading me to believe there's something with the most recent patch.
Kind regards, Anthony{noformat}


 

 ",CSHARP,Bug,Serialization,,Related:CSHARP-4112,cross_driver_inconsistency,low
75,NODE-6370,https://jira.mongodb.org/browse/NODE-6370,human,not_relevant,cmap|crud,low,"bulkWrite hangs and connection not returned to pool, plausibly a CMAP-related bug.","bulkWrite does not resolve after update, and connection not returned to pool","Our issue has been ongoing for several versions now and have not been able to go beyond 5.9.2 version of the driver. I believe it is the same as NODE-6166 which was closed without finding the issue.

We have both `find` and `bulkWrite` operations that will behave similarly. We only see the issue in production, and it occurs roughly 1 in 3,000 of our updates, and each of those updates involves 4 or 5 bulkWrite operations. We have moderately heavy load, running about ~4,000 updates per second across all nodes, which is about 40/s on each node.

Seemingly randomly, those operations never return, but there is no active connection to the db server. I have viewed internals, and a connection from the connection pool is in use for each of the updates that hang. I believe the problem must be in the reading of the response on the socket, but this driver code has changed so much since 5.9.2 it is very difficult to know what it could be.

We are connected to Atlas with a 3 replica cluster. No unusual activity on server shows in monitoring. Although random and rare relative to the number of updates, it is easy to reproduce when making many updates, although I have not been able to reproduce locally with simulated load testing.

The server is running v5.",NODE,Bug,Connection Layer,external-user,Related:NODE-6166,avoidable_by_spec_conformance,low
76,JAVA-3487,https://jira.mongodb.org/browse/JAVA-3487,human,not_relevant,change-streams|command-monitoring|crud|cursors|sessions,low,Spec area: change-streams,com.mongodb.MongoException: state should be: open when closing an change stream,"When running this small main method i get an exception

 
{code:java}
public static void main(String[] args) throws InterruptedException {	
         MongoClient mongoClient = MongoClients.create(""mongodb://localhost"");
	MongoDatabase db = mongoClient.getDatabase(""import"");
	MongoCollection<Document> gameEntityCollection = db.getCollection(""gameEnitites"");
	gameEntityCollection.watch().subscribe(new Subscriber<ChangeStreamDocument<Document>>() {		@Override
		public void onSubscribe(Subscription s) {
			s.request(1);
			new Thread(() -> {
				try {
					Thread.sleep(100);
					s.cancel();
				} catch (InterruptedException e) {
					e.printStackTrace();
				}
			}).start();
		}		@Override
		public void onNext(ChangeStreamDocument<Document> t) {
		}		@Override
		public void onError(Throwable t) {
		}		@Override
		public void onComplete() {
		}
	});	Thread.sleep(10000);
}
{code}

{code}
com.mongodb.MongoException: state should be: open
	at com.mongodb.MongoException.fromThrowableNonNull(MongoException.java:79)
	at com.mongodb.async.client.AbstractSubscription.onError(AbstractSubscription.java:135)
	at com.mongodb.async.client.MongoIterableSubscription$2.onResult(MongoIterableSubscription.java:93)
	at com.mongodb.async.client.MongoIterableSubscription$2.onResult(MongoIterableSubscription.java:85)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$3.onResult(AsyncChangeStreamBatchCursor.java:133)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$3.onResult(AsyncChangeStreamBatchCursor.java:129)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$4.onResult(AsyncChangeStreamBatchCursor.java:168)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$4.onResult(AsyncChangeStreamBatchCursor.java:159)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.operation.AsyncQueryBatchCursor$CommandResultSingleResultCallback.onResult(AsyncQueryBatchCursor.java:331)
	at com.mongodb.operation.AsyncQueryBatchCursor$CommandResultSingleResultCallback.onResult(AsyncQueryBatchCursor.java:310)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.DefaultServer$DefaultServerProtocolExecutor$2.onResult(DefaultServer.java:242)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.CommandProtocolImpl$1.onResult(CommandProtocolImpl.java:83)
	at com.mongodb.internal.connection.DefaultConnectionPool$PooledConnection$1.onResult(DefaultConnectionPool.java:467)
	at com.mongodb.internal.connection.UsageTrackingInternalConnection$2.onResult(UsageTrackingInternalConnection.java:111)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:401)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:376)
	at com.mongodb.internal.connection.InternalStreamConnection$MessageHeaderCallback$MessageCallback.onResult(InternalStreamConnection.java:677)
	at com.mongodb.internal.connection.InternalStreamConnection$MessageHeaderCallback$MessageCallback.onResult(InternalStreamConnection.java:644)
	at com.mongodb.internal.connection.InternalStreamConnection$5.completed(InternalStreamConnection.java:514)
	at com.mongodb.internal.connection.InternalStreamConnection$5.completed(InternalStreamConnection.java:511)
	at com.mongodb.internal.connection.AsynchronousChannelStream$BasicCompletionHandler.completed(AsynchronousChannelStream.java:220)
	at com.mongodb.internal.connection.AsynchronousChannelStream$BasicCompletionHandler.completed(AsynchronousChannelStream.java:203)
	at java.base/sun.nio.ch.Invoker.invokeUnchecked(Invoker.java:127)
	at java.base/sun.nio.ch.Invoker.invokeUnchecked(Invoker.java:282)
	at java.base/sun.nio.ch.WindowsAsynchronousSocketChannelImpl$ReadTask.completed(WindowsAsynchronousSocketChannelImpl.java:581)
	at java.base/sun.nio.ch.Iocp$EventHandlerTask.run(Iocp.java:387)
	at java.base/sun.nio.ch.AsynchronousChannelGroupImpl$1.run(AsynchronousChannelGroupImpl.java:112)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at java.base/java.lang.Thread.run(Thread.java:835)
Caused by: java.lang.IllegalStateException: state should be: open
	at com.mongodb.assertions.Assertions.isTrue(Assertions.java:70)
	at com.mongodb.internal.session.BaseClientSessionImpl.advanceOperationTime(BaseClientSessionImpl.java:107)
	at com.mongodb.internal.session.ClientSessionContext.advanceOperationTime(ClientSessionContext.java:70)
	at com.mongodb.internal.connection.ClusterClockAdvancingSessionContext.advanceOperationTime(ClusterClockAdvancingSessionContext.java:76)
	at com.mongodb.internal.connection.InternalStreamConnection.updateSessionContext(InternalStreamConnection.java:537)
	at com.mongodb.internal.connection.InternalStreamConnection.access$800(InternalStreamConnection.java:76)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:385)
	... 15 common frames omitted
{code}

it seem to occour when in `AsyncChangeStreamBatchCursor.close` 
`wrapped.close();` and `binding.release();` is called to fast one after the other. When i wait a bit with my debugger on `wrapped.close();` and then resume the exception does not occour.",JAVA,Bug,API,,Related:JAVA-3938,driver_spec_nonconformance,low
